APP_ID,Name,Publisher,Developer,Rank,Owners,TotalPlayer,TotalPlayersOf2weeks,AvgPlayTimeIn2weeks,Median.TotalPlayTime,YesterdayCCU
202990,Call of Duty: Black Ops II - Multiplayer,Activision,Treyarch,,2740893,2393443,183402,229,1320,4612
391540,Undertale,tobyfox,tobyfox,96,1514688,1402198,188240,235,553,3563
264710,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,84,647122,627920,117782,255,433,2504
33930,Arma 2: Operation Arrowhead,Bohemia Interactive,Bohemia Interactive,84,3885150,3433828,116270,590,220,5718
221380,Age of Empires II: HD Edition,Microsoft Studios,"Skybox Labs, Hidden Path Entertainment, Ensemble Studios",84,3125084,2802279,214850,430,515,7024
374320,DARK SOULS III,"FromSoftware, Inc., BANDAI NAMCO Entertainment","FromSoftware, Inc.",49,916101,903400,463871,819,2788,21406
252950,Rocket League,"Psyonix, Inc.","Psyonix, Inc.",87,3374407,3234248,1179636,413,1044,41890
218230,PlanetSide 2,Daybreak Game Company,Daybreak Game Company,60,5946263,3661681,201243,322,198,4225
407530,ARK: Survival Of The Fittest,Studio Wildcard,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",14,1827514,979906,128820,148,25,1448
325610,Total War: ATTILA,SEGA,Creative Assembly,30,724534,647727,132599,640,1821,4956
268500,XCOM 2,"2K, Feral Interactive (Mac), Feral Interactive (Linux)","Firaxis, Feral Interactive (Mac), Feral Interactive (Linux)",43,791515,775185,117177,670,2074,5824
270880,American Truck Simulator,SCS Software,SCS Software,84,343216,337320,119899,351,980,4268
311690,Enter the Gungeon,Devolver Digital,Dodge Roll,74,315245,307383,117177,323,439,2317
333930,Dirty Bomb,Nexon America Inc,Splash Damage®,41,4765719,3161069,229365,285,69,5422
42690,Call of Duty: Modern Warfare 3 - Multiplayer,"Activision, Aspyr (Mac)","Infinity Ward, Sledgehammer Games, Aspyr (Mac)",,3199170,2770377,123225,263,1783,3542
377160,Fallout 4,Bethesda Softworks,Bethesda Game Studios,51,3180876,3129318,794539,849,3571,49586
295270,Football Manager 2015,SEGA,Sports Interactive,47,1119460,1105096,107198,1531,10712,13968
389570,Mitos.is: The Game,Freakinware Studios,Freakinware Studios,56,1390253,1234672,130936,185,78,1572
10190,Call of Duty: Modern Warfare 2 - Multiplayer,"Activision, Aspyr (Mac)","Infinity Ward, Aspyr (Mac)",81,4804577,4230332,169643,206,2715,3396
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,Konami Digital Entertainment,Konami Digital Entertainment,69,959192,899923,110676,457,2554,8530
214950,Total War: ROME II - Emperor Edition,SEGA,Creative Assembly,45,2265682,2122953,230121,609,2588,10567
427520,Factorio,Wube Software LTD.,Wube Software LTD.,99,444972,426677,122469,961,1266,7331
236850,Europa Universalis IV,Paradox Interactive,Paradox Development Studio,81,940292,865450,156186,830,2088,11108
252490,Rust,Facepunch Studios,Facepunch Studios,56,3836162,3734104,512406,893,1405,32081
218620,PAYDAY 2,505 Games,OVERKILL - a Starbreeze Studio.,41,6238980,5781307,375875,351,1044,11534
323370,TERA,En Masse Entertainment,"Bluehole Inc., En Masse Entertainment",56,3271896,1823129,112037,726,244,6653
